function; time
build_blank_shape; 1.1882000000004722e-05;
build_structures; 0.004178639000000005;
get_pieces; 2.6999999999943736e-06;
process_space_cells; 0.0002954270000000009;
process_border_cells; 0.0002943460000000009;
process_space_cells; 0.000256540999999999;
set_to_dict; 0.00038562100000000266;
should_be_line; 1.6200000000077264e-06;
should_be_line; 1.0809999999999986e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.6209999999933222e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 2.16000000000105e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.0809999999999986e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 5.399999999933236e-07;
should_be_line; 1.080000000000525e-06;
plus_to_lines; 7.12910000000011e-05;
piece_to_text_lines; 8.15529999999981e-05;
trim_piece; 0.00034457400000000027;
process_border_cells; 0.00010855800000000859;
process_space_cells; 0.00012421899999999486;
set_to_dict; 1.9442999999993993e-05;
should_be_line; 2.16000000000105e-06;
should_be_line; 1.6200000000077264e-06;
should_be_line; 1.6199999999938486e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 2.159999999987172e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.6200000000077264e-06;
should_be_line; 1.080000000000525e-06;
plus_to_lines; 4.320700000000344e-05;
piece_to_text_lines; 2.9164999999997665e-05;
trim_piece; 6.643100000000568e-05;
process_space_cells; 0.0002046930000000058;
process_border_cells; 0.0025562229999999964;
process_space_cells; 0.006148869000000001;
process_border_cells; 4.104700000000239e-05;
process_border_cells; 5.2388000000000434e-05;
process_border_cells; 3.7264999999994664e-05;
process_border_cells; 0.00014042200000000116;
process_space_cells; 0.005779990999999998;
process_space_cells; 1.1882000000004722e-05;
process_border_cells; 3.132399999999924e-05;
process_border_cells; 3.8886000000001864e-05;
process_space_cells; 0.0057556869999999954;
process_border_cells; 3.996600000000239e-05;
process_space_cells; 0.0002073920000000007;
process_border_cells; 0.00010369600000000034;
process_space_cells; 0.006304412999999995;
set_to_dict; 0.0005681700000000067;
should_be_line; 1.6200000000077264e-06;
should_be_line; 1.0809999999999986e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.0809999999999986e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.0809999999999986e-06;
should_be_line; 5.399999999933236e-07;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.0809999999999986e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.0809999999999986e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.0809999999999986e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.0809999999999986e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 5.400000000072014e-07;
should_be_line; 2.1610000000005236e-06;
should_be_line; 1.6200000000077264e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.0809999999999986e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.6200000000077264e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.0809999999999986e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.0809999999999986e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.080000000000525e-06;
should_be_line; 1.0809999999999986e-06;
should_be_line; 1.6210000000072e-06;
should_be_line; 1.080000000000525e-06;
